"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
0,1,1,1,1,0,0,0,1,0,0,1,0,0.09,NA,NA,NA
0,1,1,1,1,0,0,0,1,0,0,0,0,-0.16,NA,NA,NA
0,1,1,1,1,1,0,0,1,0,0,1,0,-0.57,NA,NA,NA
0,1,1,1,1,0,0,0,1,0,1,2,2,0.59,0.65,0.61,1.05
0,1,1,1,1,0,0,0,1,0,0,1,0,-1,NA,NA,NA
0,1,1,1,1,0,0,0,1,0,0,1,0,-0.57,NA,NA,NA
0,1,1,1,1,1,0,0,1,0,0,1,0,-0.28,NA,NA,0.45
0,0,1,1,1,0,0,0,0,0,0,1,0,-0.46,NA,NA,NA
0,1,1,1,1,0,0,0,1,1,0,0,0,-0.84,NA,NA,NA
0,0,1,1,1,0,0,0,1,0,0,1,0,-0.37,NA,NA,NA
0,1,1,1,1,0,0,0,1,1,0,1,0,-0.1,NA,NA,0.56
0,1,1,1,1,0,0,0,1,1,0,2,0,-0.01,NA,0.79,NA
0,0,1,1,1,0,0,0,1,1,0,1,0,0.45,NA,NA,0.95
0,1,1,1,1,1,0,0,1,0,0,1,0,-0.83,NA,NA,NA
0,0,0,0,0,0,0,0,0,0,0,0,0,-1.37,NA,NA,NA
0,1,1,1,1,1,0,0,1,1,0,1,0,-0.31,NA,NA,NA
0,1,1,1,1,0,0,0,1,0,1,1,2,0.29,0.11,0.18,0.53
0,0,1,1,1,0,0,0,1,1,1,2,2,0.45,0.57,0.6,0.99
0,0,1,1,1,0,0,0,1,0,0,0,0,-1.15,NA,NA,NA
0,1,1,1,1,0,0,0,1,0,0,0,0,-0.52,NA,NA,NA
0,1,1,1,1,0,0,0,1,0,0,2,0,0.49,NA,NA,0.98
0,1,1,1,1,0,0,0,1,0,0,1,0,0.11,NA,NA,NA
0,1,1,1,1,0,0,0,0,0,0,0,0,-1.61,NA,NA,NA
0,1,1,1,1,0,0,0,1,1,0,1,0,-0.19,NA,NA,NA
0,1,1,1,1,0,0,0,1,1,0,2,0,-0.31,NA,NA,NA
0,1,1,1,1,0,0,0,1,1,0,1,0,-1,NA,NA,NA
0,1,1,1,1,0,0,0,1,0,0,0,0,-0.57,NA,NA,NA
0,1,1,1,1,0,0,0,1,0,0,1,0,-0.66,NA,NA,NA
0,0,1,1,1,0,0,0,1,1,0,2,0,0.66,0.67,0.74,1.22
0,1,1,1,1,0,0,0,1,0,0,0,0,-0.14,NA,NA,NA
0,1,1,1,1,0,0,0,1,1,0,0,0,NA,NA,NA,NA
0,0,1,1,0,0,0,0,1,0,0,0,0,-1.3,NA,NA,NA
0,1,1,1,1,0,0,0,1,1,0,0,0,-0.32,NA,NA,NA
0,0,1,1,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA
0,1,1,1,1,0,0,0,1,1,0,0,0,NA,NA,NA,NA
0,0,1,1,1,0,0,0,1,0,0,0,0,-0.45,NA,NA,NA
0,1,1,1,1,1,0,0,1,0,1,2,0,0.01,NA,NA,NA
0,0,1,1,1,0,0,0,0,0,1,1,2,-1.27,-0.43,-0.25,NA
0,1,1,1,1,0,0,0,0,1,0,0,0,-0.16,NA,NA,NA
